keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
online surprise ideas for boyfriend,surprise-link,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,7/7,,own-it-already,75,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,22
virtual gift ideas for boyfriend,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,"300-1,000/mo EST",EST,7/7,,own-it-already,40,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,21
digital birthday wish for boyfriend,digital-birthday-card,,paperlesspost.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"300-1,000/mo EST",EST,0/8,4 (zero weak results),do-not-attempt,0,paperlesspost.com | greetingsisland.com | americangreetings.com,digital-gifting,skip,,,,evergreen,year-round,evergreen,15
digital love letter app,digital-love-letter,,play.google.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"300-1,000/mo EST",EST,6/9,,winnable,50,play.google.com | apps.apple.com | slowly.app,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,13
online gift ideas for gf,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,"300-1,000/mo EST",EST,9/9,,own-it-already,40,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,13
surprise link for bf,surprise-link,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"300-1,000/mo EST",EST,9/9,,own-it-already,50,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,13
gift link for whatsapp,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,9/9,,own-it-already,25,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,12
digital love letter for boyfriend,digital-love-letter,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,9/9,,winnable,25,,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,11
virtual gift for boyfriend free,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,7/7,,own-it-already,25,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,11
virtual gift ideas free,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,6/6,,own-it-already,25,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,11
digital card for boyfriend free,digital-card-partner,,greetingsisland.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,4/9,,winnable,15,greetingsisland.com | paperlesspost.com | canva.com,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,9
digital gift for boyfriend,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,8/8,,own-it-already,25,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,9
gift link for gf,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,8/9,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,5,,evergreen,year-round,evergreen,9
how do i make a digital card,unthemed,,canva.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,0/7,4 (zero weak results),do-not-attempt,0,canva.com | play.google.com | greetingsisland.com,digital-gifting,skip,,,,evergreen,year-round,evergreen,9
virtual gift website free,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,8/8,,own-it-already,25,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,9
digital gift ideas for boyfriend,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,under 300/mo EST,EST,7/7,,own-it-already,20,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,8
digital love letter for him,digital-love-letter,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,9/9,,winnable,25,,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,8
digital love letter website free,digital-love-letter,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,10/10,,winnable,25,,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,8
how to make a website for my boyfriend,love-website-builder,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,6/6,,own-it-already,25,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,8
digital invitation cards online,digital-invitation,,greetingsisland.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,0/9,4 (zero weak results),do-not-attempt,0,greetingsisland.com | canva.com | paperlesspost.com,digital-gifting,skip,,,,evergreen,year-round,evergreen,7
digital love letter with code,digital-love-letter,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,9/9,,winnable,25,,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,7
digital love letter with music,digital-love-letter,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,9/9,,winnable,25,,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,7
how to make a website for girlfriend,love-website-builder,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,6/7,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,7,,evergreen,year-round,evergreen,7
best virtual gift for boyfriend,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,under 300/mo EST,EST,7/7,,own-it-already,20,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,6
virtual date night for long distance,virtual-date-night,,extension.usu.edu,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,under 300/mo EST,EST,5/7,,winnable,20,extension.usu.edu | goodhousekeeping.com,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,6
virtual date nights for long-distance couples,virtual-date-night,,extension.usu.edu,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,under 300/mo EST,EST,5/7,,winnable,20,extension.usu.edu | goodhousekeeping.com,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,6
website for girlfriend github,love-website-builder,,github.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,under 300/mo EST,EST,1/2,4 (insufficient data — under 4 parsed hosts),do-not-attempt,4,github.com,digital-gifting,skip,,,,evergreen,year-round,evergreen,6
website for girlfriend ideas,love-website-builder,,github.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,under 300/mo EST,EST,8/9,,own-it-already,20,github.com,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,6
digital love letter for her,digital-love-letter,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,9/9,,winnable,25,,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,5
digital love letter template,digital-love-letter,,canva.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,7/9,,winnable,25,canva.com | adobe.com,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,5
free digital love letter for girlfriend,digital-love-letter,,canva.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,8/9,,winnable,25,canva.com,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,5
online gift maker for gf,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,7/8,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,6,,evergreen,year-round,evergreen,5
virtual date night games free,virtual-date-night,,play.google.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,5/8,,winnable,25,play.google.com | poki.com | rosebud.ai,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,5
website for girlfriend free,love-website-builder,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,8/9,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,4,,evergreen,year-round,evergreen,5
digital card maker for boyfriend,digital-card-partner,,paperlesspost.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,3/9,,winnable,15,paperlesspost.com | greetingsisland.com | canva.com,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,4
digital gift for her,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,8/9,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,9,,evergreen,year-round,evergreen,4
online gift maker for bf,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,8/8,,own-it-already,25,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,4
virtual gift for girlfriend free,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,6/7,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,4,,evergreen,year-round,evergreen,4
virtual gift ideas for her,virtual-gift-partner,,goodhousekeeping.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,7/8,,own-it-already,25,goodhousekeeping.com,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,4
virtual gift link for boyfriend,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,7/7,,own-it-already,25,,digital-gifting,cover-on-existing-page,,,,evergreen,year-round,evergreen,4
website for girlfriend anniversary ideas,love-website-builder,,github.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,6/9,,own-it-already,25,github.com | canva.com,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,7,,evergreen,year-round,evergreen,4
sorry surprise link for girlfriend,apology-link,,greetingsisland.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,7/9,,own-it-already,25,greetingsisland.com,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,4,,evergreen,year-round,evergreen,3
surprise message link for girlfriend,surprise-link,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,8/9,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,6,,evergreen,year-round,evergreen,3
website for girlfriend surprise,love-website-builder,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,7/8,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,3,,evergreen,year-round,evergreen,3
virtual gift for girlfriend,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,7/8,,own-it-already,25,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,7,,evergreen,year-round,evergreen,0
