keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
digital gift for girlfriend free,D-digital-gift,https://www.tiktok.com/discover/virtual-gift-for-girlfriend?lang=en,www.tiktok.com,serp-pattern,commercial,blog post,"300-1,000/mo",EST,6,,winnable-now,40,https://www.tiktok.com/discover/virtual-gift-for-girlfriend?lang=en,digital-gifts,new page,none,none,43,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,9
love website for girlfriend template,B-love-website,https://weblium.com/templates/tag/girlfriend-website/,weblium.com,serp-weakness,doing,blog post,"300-1,000/mo",EST,3,,winnable-now,40,https://weblium.com/templates/tag/girlfriend-website/,love-website,new page,none,none,29,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,9
i love you website for girlfriend free,B-love-website,https://github.com/topics/romantic-website,github.com,serp-pattern,doing,blog post,"300-1,000/mo",EST,3,,winnable-now,40,https://github.com/topics/romantic-website,love-website,new page,none,none,29,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,7
long distance relationship surprise ideas on a phone,C-online-surprise,https://www.pinterest.com/ideas/long-distance-relationship-surprise-idea/925395782446/,www.pinterest.com,serp-weakness,doing,blog post,"300-1,000/mo",EST,4,,winnable-now,40,https://www.pinterest.com/ideas/long-distance-relationship-surprise-idea/925395782446/,long-distance,new page,none,none,29,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,17
long distance relationship surprise website,C-online-surprise,https://justmeantforyou.com/blog/how-to-surprise-your-long-distance-partner.php,justmeantforyou.com,serp-pattern,doing,blog post,"300-1,000/mo",EST,4,,winnable-now,40,https://justmeantforyou.com/blog/how-to-surprise-your-long-distance-partner.php,long-distance,new page,none,none,29,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,11
long distance relationship surprise gifts,C-online-surprise,https://www.theknot.com/content/gifts-for-long-distance-couples,www.theknot.com,serp-weakness,doing,blog post,"300-1,000/mo",EST,4,,winnable-now,40,https://www.theknot.com/content/gifts-for-long-distance-couples,long-distance,new page,none,none,29,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,11
i love you message for her long distance relationship,F-love-messages,https://lovetexthub.com/100-love-and-trust-messages-for-a-distance-relationship-with-her/,lovetexthub.com,serp-weakness,reading_bridge,blog post,"300-1,000/mo",EST,3,,winnable-now,24,https://lovetexthub.com/100-love-and-trust-messages-for-a-distance-relationship-with-her/,long-distance,new page,none,none,29,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,6
love song dedicated to gf hindi,G-song-dedication,https://www.quora.com/What-are-the-best-songs-to-dedicate-to-your-love,www.quora.com,serp-weakness,reading_bridge,blog post,"300-1,000/mo",EST,3,,winnable-now,24,https://www.quora.com/What-are-the-best-songs-to-dedicate-to-your-love,music,new page,none,none,29,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,6
what is a good song to dedicate to your girlfriend,G-song-dedication,https://en.wikipedia.org/wiki/Dedicated_to_the_One_I_Love,en.wikipedia.org,serp-weakness,reading_bridge,blog post,"300-1,000/mo",EST,3,,winnable-now,24,https://en.wikipedia.org/wiki/Dedicated_to_the_One_I_Love,music,new page,none,none,29,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,6
love letter for girlfriend in gujarati,A-lang-letter,https://www.pinterest.com/ideas/love-letters-in-marathi/918680992976/,www.pinterest.com,serp-pattern,doing,blog post,under 300/mo,EST,6,,winnable-now,25,https://www.pinterest.com/ideas/love-letters-in-marathi/918680992976/,love-letters,new page,none,none,10,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,6
truth or dare questions for couples long distance,E-love-games,https://www.pinterest.com/ideas/truth-or-dare-questions-for-long-distance-relationship/909800627988/,www.pinterest.com,serp-weakness,reading_bridge,blog post,"1,000-3,000/mo",EST,2,,hard-differentiator-only,18,https://www.pinterest.com/ideas/truth-or-dare-questions-for-long-distance-relationship/909800627988/,couple-games,new page,none,none,9,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,12
love website for girlfriend without coding,B-love-website,https://www.lovelydesign.in/blog/how-to-make-a-website-for-your-girlfriend,www.lovelydesign.in,serp-weakness,commercial,comparison post,"300-1,000/mo",EST,1,,hard-differentiator-only,16,https://www.lovelydesign.in/blog/how-to-make-a-website-for-your-girlfriend,love-website,new page,none,none,3,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,5
truth or dare questions for couples over the phone,E-love-games,https://mysweetldr.medium.com/ldr-truth-or-dare-50-ideas-for-an-unforgettable-moment-ad76863c2fbd,mysweetldr.medium.com,serp-weakness,reading_bridge,blog post,"300-1,000/mo",EST,2,,hard-differentiator-only,12,https://mysweetldr.medium.com/ldr-truth-or-dare-50-ideas-for-an-unforgettable-moment-ad76863c2fbd,couple-games,new page,none,none,3,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,14
love quiz game for girlfriend,E-love-games,https://www.couplesquizgame.com/,www.couplesquizgame.com,serp-tool-only,doing,template page,"1,000-3,000/mo",EST,0,,tool-target,0,https://www.couplesquizgame.com/,couple-games,optimise /love-gf,none,none,0,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,26
