keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank,duplicate_of,market,collides_with_live_slug,prior_run_duplicate,note
carta para decir te extraño,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,how-to guide,"300-1,000/mo",EST,4,,winnable-now,40,,es,new-page,,none,29,evergreen,year-round,,,,es/mx,,,
te echo de menos significado,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,3,,winnable-now,24,,es,new-page,,none,88,evergreen,year-round,,7,,es,,,Netflix series 'Te echo de menos' owns the bare head term in Spain
diferencia entre te extraño y te echo de menos,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,30,,es,new-page,,none,43,evergreen,year-round,,,,es/mx,,,regional split: extrañar (LatAm) vs echar de menos (Spain) — original angle
te extraño en ingles como se dice,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,es,new-page,,none,88,evergreen,year-round,,,,es/mx,,,
otra forma de decir te extraño,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,4,,winnable-now,32,,es,new-page,,none,29,evergreen,year-round,,,,mx/es,,,
mensajes de te extraño para whatsapp,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,60,,es,new-page,,none,88,evergreen,year-round,,,,es/mx,,,
frases de te extraño para una amiga,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,4,,winnable-now,32,,es,merge-into-cluster-primary,,none,29,evergreen,year-round,,,frases de te extraño para mi novia,es/mx,,,
te extraño papa frases,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,4,,winnable-now,32,,es,new-page,,none,29,evergreen,year-round,,2,,mx/es,,,grief-adjacent — needs tone care
como decir te extraño sin decirlo,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,es,new-page,,none,43,evergreen,year-round,,,,es/mx,,,Spanish twin of the c02 English winner
te echo de menos en catalan,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,16,,es,new-page,,none,29,evergreen,year-round,,9,,es,,,
te extraño en silencio significado,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,3,,winnable-now,16,,es,new-page,,none,29,evergreen,year-round,,,,mx,,,partly a Grupo Firme song query
imagenes de te extraño para enviar,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,image gallery,"1,000-3,000/mo",EST,3,,winnable-now,36,,es,merge-into-cluster-primary,,none,88,evergreen,year-round,,,mensajes de te extraño para whatsapp,es/mx,,,
pagina web para decir te extraño,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,under 300/mo,EST,5,,winnable-now,25,,es,merge-into-cluster-primary,,none,10,evergreen,year-round,,,carta para decir te extraño,es/mx,,,product-shaped; almost no incumbent
mensagem de saudade para namorado,c05-pt,https://www.google.com/search?q=mensagem%20de%20saudade%20para%20namorado,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,blog listicle,"3,000-10,000/mo",EST,5,,winnable-now,80,,pt,new-page,,none,429,evergreen,year-round,,,,br/pt,,,"weak: tiktok x2, pinterest, medium, coroasparavelorio off-intent"
frases de saudade para namorada,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"3,000-10,000/mo",EST,5,,winnable-now,80,,pt,new-page,,none,429,evergreen,year-round,,,,br/pt,,,
saudade em ingles como se diz,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,pt,new-page,,none,88,evergreen,year-round,,,,br/pt,,,"the untranslatable-word angle, genuinely researchable"
sinto sua falta em ingles,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,pt,new-page,,none,88,evergreen,year-round,,3,,br/pt,,,
mensagem de saudade para amiga,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,5,,winnable-now,60,,pt,new-page,,none,132,evergreen,year-round,,,,br/pt,,,
frases de saudades eternas,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,36,,pt,new-page,,none,88,evergreen,year-round,,,,br/pt,,,memorial intent — tone care
mensagem de saudade para mae,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,5,,winnable-now,60,,pt,new-page,,none,132,evergreen,year-round,,,,br/pt,,,
saudade ou saudades qual o certo,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,24,,pt,new-page,,none,88,evergreen,year-round,,,,br/pt,,,
cartao virtual de saudade,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,under 300/mo,EST,5,,winnable-now,25,,pt,new-page,,none,10,evergreen,year-round,,,,br/pt,,,
o que significa saudade,c05-pt,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,3,,winnable-now,24,,pt,new-page,,none,88,evergreen,year-round,,,,br/pt,,,
message tu me manques,c06-fr,https://www.google.com/search?q=message%20tu%20me%20manques,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,blog listicle,"3,000-10,000/mo",EST,3,,winnable-now,64,,fr,new-page,,none,286,evergreen,year-round,,,,fr,,,"incumbents are product blogs (Lovebox, Flexilivre) — the same play as ours"
tu me manques tellement texte,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,3,,winnable-now,48,,fr,new-page,,none,88,evergreen,year-round,,,,fr,,,
tu me manques en anglais,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,fr,new-page,,none,88,evergreen,year-round,,3,,fr,,,
sms tu me manques pour lui,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,3,,winnable-now,48,,fr,new-page,,none,88,evergreen,year-round,,,,fr,,,
tu me manques mon amour texte,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,3,,winnable-now,48,,fr,new-page,,none,88,evergreen,year-round,,1,,fr,,,
comment dire tu me manques autrement,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,fr,new-page,,none,43,evergreen,year-round,,,,fr,,,
tu me manques signification grammaire,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,under 300/mo,EST,5,,winnable-now,10,,fr,new-page,,none,10,evergreen,year-round,,,,fr,,,"'you are missing FROM me' — the dative construction, a real linguistics hook"
poeme tu me manques,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"300-1,000/mo",EST,4,,winnable-now,24,,fr,merge-into-cluster-primary,,none,29,evergreen,year-round,,,message tu me manques,fr,,,
tu me manques en arabe,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,fr,new-page,,none,29,evergreen,year-round,,3,,fr,,,
page personnalisee tu me manques,c06-fr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,under 300/mo,EST,5,,winnable-now,25,,fr,new-page,,none,10,evergreen,year-round,,,,fr,,,
ich vermisse dich spruche,c07-de,https://www.google.com/search?q=ich%20vermisse%20dich%20spruche,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,blog listicle,"3,000-10,000/mo",EST,4,,winnable-now,64,,de,new-page,,none,286,evergreen,year-round,,3,,de,,,"weak: studyflix off-intent, wikipedia off-intent, liebesromantik, infranken"
ich vermisse dich bilder,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,image gallery,"3,000-10,000/mo",EST,3,,winnable-now,48,,de,new-page,,none,286,evergreen,year-round,,3,,de,,,
ich vermisse dich so sehr spruche,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,de,new-page,,none,88,evergreen,year-round,,1,,de,,,
ich vermisse dich auf italienisch,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,de,new-page,,none,29,evergreen,year-round,,3,,de,,,
ich vermisse dich auf turkisch,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,de,new-page,,none,29,evergreen,year-round,,3,,de,,,Turkish is Germany's largest immigrant language — genuine demand
ich vermisse dich in zahlen,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,30,,de,new-page,,none,43,evergreen,year-round,,3,,de,,,number-code shorthand; no strong incumbent
wie sage ich ihm dass ich ihn vermisse,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,de,new-page,,none,43,evergreen,year-round,,,,de,,,
ich vermisse dich nachricht fur freundin,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,4,,winnable-now,32,,de,new-page,,none,29,evergreen,year-round,,,,de,,,
vermissen spruche fur freunde,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,de,new-page,,none,88,evergreen,year-round,,,,de,,,
ich vermisse dich seite erstellen,c07-de,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,under 300/mo,EST,5,,winnable-now,25,,de,new-page,,none,10,evergreen,year-round,,,,de,,,
frasi mi manchi amore,c08-it,https://www.google.com/search?q=frasi%20mi%20manchi%20amore,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,blog listicle,"3,000-10,000/mo",EST,4,,winnable-now,64,,it,new-page,,none,286,evergreen,year-round,,,,it,,,"weak: wikipedia off-intent, cartoline, dediche, frasiamorose"
mi manchi in inglese,c08-it,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,it,new-page,,none,88,evergreen,year-round,,4,,it,,,
mi manchi tanto frasi,c08-it,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,it,merge-into-cluster-primary,,none,88,evergreen,year-round,,1,frasi mi manchi amore,it,,,
mi manchi frasi per lui,c08-it,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,it,new-page,,none,88,evergreen,year-round,,1,,it,,,
mi manchi in spagnolo,c08-it,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,it,new-page,,none,29,evergreen,year-round,,4,,it,,,
come dire mi manchi in modo originale,c08-it,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,it,new-page,,none,43,evergreen,year-round,,,,it,,,
mi manchi immagini da inviare,c08-it,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,image gallery,"1,000-3,000/mo",EST,3,,winnable-now,36,,it,new-page,,none,88,evergreen,year-round,,,,it,,,
pagina personalizzata mi manchi,c08-it,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,under 300/mo,EST,5,,winnable-now,25,,it,new-page,,none,10,evergreen,year-round,,,,it,,,
ik mis je quotes,c09-nl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,nl,new-page,,none,88,evergreen,year-round,,3,,nl,,,
ik mis je gedicht,c09-nl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"300-1,000/mo",EST,4,,winnable-now,24,,nl,new-page,,none,29,evergreen,year-round,,3,,nl,,,
ik mis je berichtje voor hem,c09-nl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,4,,winnable-now,32,,nl,new-page,,none,29,evergreen,year-round,,,,nl,,,
ik mis je in het frans,c09-nl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,under 300/mo,EST,4,,winnable-now,12,,nl,new-page,,none,7,evergreen,year-round,,4,,nl,,,
ik mis je nu al betekenis,c09-nl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,under 300/mo,EST,4,,winnable-now,8,,nl,new-page,,none,7,evergreen,year-round,,,,nl,,,
ik mis je kaartje online sturen,c09-nl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,under 300/mo,EST,5,,winnable-now,25,,nl,new-page,,none,10,evergreen,year-round,,,,nl,,,
tesknie za toba cytaty,c10-pl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,pl,new-page,,none,88,evergreen,year-round,,1,,pl,,,Harlan Coben Netflix series contaminates the bare head term
tesknie za toba wierszyk,c10-pl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"300-1,000/mo",EST,4,,winnable-now,24,,pl,merge-into-cluster-primary,,none,29,evergreen,year-round,,1,tesknie za toba cytaty,pl,,,
tesknie za toba sms,c10-pl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,4,,winnable-now,32,,pl,merge-into-cluster-primary,,none,29,evergreen,year-round,,1,tesknie za toba cytaty,pl,,,
tesknie za toba po angielsku,c10-pl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,pl,new-page,,none,29,evergreen,year-round,,1,,pl,,,
jak powiedziec tesknie inaczej,c10-pl,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,under 300/mo,EST,5,,winnable-now,20,,pl,new-page,,none,10,evergreen,year-round,,,,pl,,,
ozlem sozleri,c11-tr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"3,000-10,000/mo",EST,3,,winnable-now,64,,tr,new-page,,none,286,evergreen,year-round,,,,tr,,,ciceksepeti / hediyesepeti / sosyopix — gift brands hold it
seni ozledim sozleri,c11-tr,https://www.google.com/search?q=seni%20ozledim%20sozleri,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,blog listicle,"3,000-10,000/mo",EST,3,,winnable-now,64,,tr,new-page,,none,286,evergreen,year-round,,1,,tr,,,"weak: last.fm lyrics x2 off-intent, 1000kitap"
seni ozledim mesajina verilecek cevaplar,c11-tr,https://www.google.com/search?q=seni%20ozledim%20mesajina%20verilecek%20cevaplar,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,how-to guide,"1,000-3,000/mo",EST,9,,winnable-now,60,,tr,new-page,,none,132,evergreen,year-round,,,,tr,,,"weak: kizlarsoruyor x3, uludagsozluk x2, normalsozluk, exkutupsozluk, wikipedia, steamcommunity — no editorial page exists"
seni ozledim diyen erkege ne cevap verilir,c11-tr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,9,,winnable-now,40,,tr,new-page,,none,43,evergreen,year-round,,,,tr,,,
seni ozledim ingilizce nasil yazilir,c11-tr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,tr,new-page,,none,29,evergreen,year-round,,,,tr,,,
seni ozledim kurtce nasil denir,c11-tr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,30,,tr,new-page,,none,43,evergreen,year-round,,,,tr,,,
