keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank,secondary_keywords,serp_note
jasmine flower meaning,bloom-meanings,https://petalrepublic.com/,petalrepublic.com,verified,knowing,blog post,"1,000-3,000/mo EST",EST,2,,hard-differentiator-only,75,petalrepublic.com | symbolsage.com | wikihow.com | flowermeaning.com | foliagefriend.com,bloom-meanings,new page,none,none,9,evergreen,,,11,marigold flower meaning in english | jasmine flower meaning in hindi | marigold flower meaning in hinduism | jasmine flower meaning in india | flower names in hindi meaning | flower names in hindi for girl,"2/9 weak (wikiHow, Wikipedia)"
how many roses to give girlfriend,rose-counts,https://rosaholics.com/,rosaholics.com,verified,knowing,blog post,"1,000-3,000/mo EST",EST,0,gate-4-zero-weak,hard-differentiator-only,75,rosaholics.com | tamaracamerablog.com | fleurunion.com | liasflowers.com | saiflower.com,rose-counts,new page,none,none,3,evergreen,,,12,how many roses to give | how many roses to give to a girl | how many roses should you give a girl | how many roses to give on rose day | how many roses to give for birthday | how many roses to give on valentine's day,"0/8 weak — rosaholics, fleurunion, liasflowers: florist blogs"
12 roses meaning,flower-meanings,https://morflora.com/,morflora.com,verified,knowing,blog post,"1,000-3,000/mo EST",EST,0,gate-4-zero-weak,hard-differentiator-only,75,morflora.com | localflower.ca | flowersonline.org | popsugar.com | omghitched.com,flower-meanings,new page,none,none,3,evergreen,,,13,what does 12 roses means | what does 12 roses symbolize,"0/9 weak — morflora, proflowers, yourflowersguide"
gerbera flower meaning,bloom-meanings,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,1,,hard-differentiator-only,50,,bloom-meanings,new page,none,none,3,evergreen,,,14,,gerbera is in the 12 blooms
hydrangea meaning in flower language,bloom-meanings,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,1,,hard-differentiator-only,50,,bloom-meanings,new page,none,none,3,evergreen,,,15,hydrangea meaning in flower language | gerbera flower meaning in malayalam | gerbera flower meaning in kannada | what is gerbera flower,regional variants harvested (malayalam/kannada/hindi)
bouquet colour combination,bouquet-styling,,,verified,knowing,blog post,"300-1,000/mo EST",EST,2,,hard-differentiator-only,50,,bouquet-styling,new page,none,none,3,evergreen,,,16,,2/8 weak (Pinterest x2); product HAS colour + b&w choice
marigold flower meaning in hinduism,bloom-meanings,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,1,,hard-differentiator-only,50,,bloom-meanings,new page,none,none,3,evergreen,,,17,marigold flower meaning in english | jasmine flower meaning in hindi | marigold flower meaning in hinduism | jasmine flower meaning in india | flower names in hindi meaning | flower names in hindi for girl,Indian-first angle the meaning sites do not own
what does marigold mean spiritually,bloom-meanings,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,1,,hard-differentiator-only,50,,bloom-meanings,new page,none,none,3,evergreen,,,18,,cluster sibling
flower emoji meaning in chat,digital-native,,,verified,knowing,blog post,"300-1,000/mo EST",EST,1,,hard-differentiator-only,50,,digital-native,new page,none,none,3,evergreen,,,19,flower emoji meaning whatsapp | flower emoji meaning love | flower emoji meaning instagram,1/9 weak; emojipedia + emojiterra entrenched
bouquet color code,bouquet-styling,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,2,,hard-differentiator-only,50,,bouquet-styling,new page,none,none,3,evergreen,,,20,,"palette/hex intent, distinct from the above"
online bouquet app,product-terms,,,serp-pattern,doing,blog post,"300-1,000/mo EST",EST,2,,hard-differentiator-only,50,,product-terms,new page,none,none,3,evergreen,,,21,,app intent; nearest live page is digital-bouquet (j=0.25)
marigold flower meaning,bloom-meanings,https://petalrepublic.com/,petalrepublic.com,verified,knowing,blog post,"300-1,000/mo EST",EST,0,gate-4-zero-weak,hard-differentiator-only,50,petalrepublic.com | florgeous.com | flowermeaning.com | bloomingexpert.com | myglobalflowers.com,bloom-meanings,new page,none,none,1,evergreen,,,22,,"0/9 weak — petalrepublic, flowermeaning.com, theflowerexpert"
how many roses to give on rose day,rose-counts,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,0,gate-4-zero-weak,hard-differentiator-only,50,,rose-counts,new page,none,none,1,"seasonal, peak in the event window",2027-02-07 +/- 10 days,2026-09-20,23,how many roses to give | how many roses to give to a girl | how many roses should you give a girl | how many roses to give on rose day | how many roses to give for birthday | how many roses to give on valentine's day,same authorities; Rose Day framing is the only opening
flower names in hindi with meaning,hindi-flowers,https://vocabshiksha.com/,vocabshiksha.com,verified,knowing,blog post,"300-1,000/mo EST",EST,0,gate-4-zero-weak,hard-differentiator-only,50,vocabshiksha.com | meaninginhindi.net | knowledgekiddos.com | flowernamesinhindi.com | topprnation.in,hindi-flowers,new page,none,none,1,evergreen,,,24,marigold flower meaning in english | jasmine flower meaning in hindi | marigold flower meaning in hinduism | jasmine flower meaning in india | flower names in hindi meaning | flower names in hindi for girl,"0/10 weak — vocabshiksha, flowernamesinhindi.com, hinditutor"
how many roses to give for anniversary,rose-counts,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,0,gate-4-zero-weak,hard-differentiator-only,50,,rose-counts,new page,none,none,1,evergreen,,,25,how many roses to give | how many roses to give to a girl | how many roses should you give a girl | how many roses to give on rose day | how many roses to give for birthday | how many roses to give on valentine's day,cluster sibling
how many roses to give for proposal,rose-counts,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,0,gate-4-zero-weak,hard-differentiator-only,50,,rose-counts,new page,none,none,1,evergreen,,,26,how many roses to give | how many roses to give to a girl | how many roses should you give a girl | how many roses to give on rose day | how many roses to give for birthday | how many roses to give on valentine's day,cluster sibling
how many roses to give on first date,rose-counts,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,0,gate-4-zero-weak,hard-differentiator-only,50,,rose-counts,new page,none,none,1,evergreen,,,27,how many roses to give | how many roses to give to a girl | how many roses should you give a girl | how many roses to give on rose day | how many roses to give for birthday | how many roses to give on valentine's day,cluster sibling
which flower for which occasion,bouquet-styling,,,serp-pattern,knowing,blog post,under 300/mo EST,EST,2,,hard-differentiator-only,25,,bouquet-styling,new page,none,none,1,evergreen,,,28,which flower for | which flower for which occasion | which flower for ganesha | what are the flower emojis | flower to a girl | which flower is auspicious,"strongest product fit: 12 blooms, pick by occasion"
what does the dead flower emoji mean,digital-native,,,serp-pattern,knowing,blog post,under 300/mo EST,EST,1,,hard-differentiator-only,25,,digital-native,new page,none,none,1,evergreen,,,29,what does the dead flower emoji mean,the one emoji query with romantic subtext
1 rose bouquet meaning,flower-meanings,,,serp-pattern,knowing,blog post,under 300/mo EST,EST,0,gate-4-zero-weak,hard-differentiator-only,25,,flower-meanings,new page,none,none,0,evergreen,,,30,,single-rose intent
